#TYPE System.Management.Automation.PSCustomObject
"name","sound[]","title"
"TER_SQ2C_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_SQ2C_DEF_OPF_LEN_ARU_1"",20,1","We just lost the Second Terminal! Fallback!"
"TER_SQ3C_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_SQ3C_ATT_OPF_LEN_ARU_1"",20,1","Terminal 3 is done and hacked! We did it, FOR MOTHER RUSSIA! OOOOOORAAAAHHHHHH"
"TER_SQ3C_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_SQ3C_DEF_OPF_LEN_ARU_1"",20,1","Comrades, Terminal 3 has been hacked! The enemy have destroyed all of them!"
"TER_TM1C_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM1C_ATT_OPF_LEN_ARU_1"",20,1","Terminal 1 is done!"
"TER_TM1C_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM1C_DEF_OPF_LEN_ARU_1"",20,1","We just lost Terminal 1 Comrades!"
"TER_TM1H_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM1H_ATT_OPF_LEN_ARU_1"",20,1","We are hacking the first Terminal!"
"TER_TM1H_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM1H_DEF_OPF_LEN_ARU_1"",20,1","Enemy forces have begun a hack on Terminal 1!"
"TER_TM2C_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM2C_ATT_OPF_LEN_ARU_1"",20,1","Terminal 2 is done!"
"TER_TM2C_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM2C_DEF_OPF_LEN_ARU_1"",20,1","Blyat, Terminal 2 is lost!"
"TER_TM2H_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM2H_ATT_OPF_LEN_ARU_1"",20,1","We are hacking Terminal 2!"
"TER_TM2H_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM2H_DEF_OPF_LEN_ARU_1"",20,1","Terminal 2 is under attack!"
"TER_TM3C_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM3C_ATT_OPF_LEN_ARU_1"",20,1","Terminal 3 is done!"
"TER_TM3C_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM3C_DEF_OPF_LEN_ARU_1"",20,1","Comrades, Terminal 3 has been hacked!"
"TER_TM3H_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM3H_ATT_OPF_LEN_ARU_1"",20,1","Terminal 3 is under our control and being hacked!"
"TER_TM3H_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_TM3H_DEF_OPF_LEN_ARU_1"",20,1","THe enemy are hacking Terminal 3!"
